Description,trans_date,Quantity,day_of_week,month
ASSORTED COLOUR BIRD ORNAMENT,2011-02-17,24,3,2
ASSORTED COLOUR BIRD ORNAMENT,2011-02-18,80,4,2
ASSORTED COLOUR BIRD ORNAMENT,2011-02-20,8,6,2
ASSORTED COLOUR BIRD ORNAMENT,2011-02-21,40,0,2
ASSORTED COLOUR BIRD ORNAMENT,2011-02-22,40,1,2
ASSORTED COLOUR BIRD ORNAMENT,2011-02-23,96,2,2
ASSORTED COLOUR BIRD ORNAMENT,2011-02-24,32,3,2
ASSORTED COLOUR BIRD ORNAMENT,2011-02-25,24,4,2
ASSORTED COLOUR BIRD ORNAMENT,2011-02-27,96,6,2
ASSORTED COLOUR BIRD ORNAMENT,2011-02-28,4,0,2
ASSORTED COLOUR BIRD ORNAMENT,2011-03-01,24,1,3
ASSORTED COLOUR BIRD ORNAMENT,2011-03-02,6,2,3
ASSORTED COLOUR BIRD ORNAMENT,2011-03-03,40,3,3
ASSORTED COLOUR BIRD ORNAMENT,2011-03-04,72,4,3
ASSORTED COLOUR BIRD ORNAMENT,2011-03-06,43,6,3
ASSORTED COLOUR BIRD ORNAMENT,2011-03-07,192,0,3
ASSORTED COLOUR BIRD ORNAMENT,2011-03-08,80,1,3
ASSORTED COLOUR BIRD ORNAMENT,2011-03-09,40,2,3
ASSORTED COLOUR BIRD ORNAMENT,2011-03-10,64,3,3
ASSORTED COLOUR BIRD ORNAMENT,2011-03-11,216,4,3
ASSORTED COLOUR BIRD ORNAMENT,2011-03-13,34,6,3
ASSORTED COLOUR BIRD ORNAMENT,2011-03-14,272,0,3
ASSORTED COLOUR BIRD ORNAMENT,2011-03-15,363,1,3
ASSORTED COLOUR BIRD ORNAMENT,2011-03-16,176,2,3
ASSORTED COLOUR BIRD ORNAMENT,2011-03-17,64,3,3
ASSORTED COLOUR BIRD ORNAMENT,2011-03-18,37,4,3
ASSORTED COLOUR BIRD ORNAMENT,2011-03-20,56,6,3
ASSORTED COLOUR BIRD ORNAMENT,2011-03-21,122,0,3
ASSORTED COLOUR BIRD ORNAMENT,2011-03-22,69,1,3
ASSORTED COLOUR BIRD ORNAMENT,2011-03-23,56,2,3
ASSORTED COLOUR BIRD ORNAMENT,2011-03-24,80,3,3
ASSORTED COLOUR BIRD ORNAMENT,2011-03-25,40,4,3
ASSORTED COLOUR BIRD ORNAMENT,2011-03-27,8,6,3
ASSORTED COLOUR BIRD ORNAMENT,2011-03-28,96,0,3
ASSORTED COLOUR BIRD ORNAMENT,2011-03-29,24,1,3
ASSORTED COLOUR BIRD ORNAMENT,2011-03-30,16,2,3
ASSORTED COLOUR BIRD ORNAMENT,2011-03-31,212,3,3
ASSORTED COLOUR BIRD ORNAMENT,2011-04-01,117,4,4
ASSORTED COLOUR BIRD ORNAMENT,2011-04-04,139,0,4
ASSORTED COLOUR BIRD ORNAMENT,2011-04-05,248,1,4
ASSORTED COLOUR BIRD ORNAMENT,2011-04-06,32,2,4
ASSORTED COLOUR BIRD ORNAMENT,2011-04-07,57,3,4
ASSORTED COLOUR BIRD ORNAMENT,2011-04-08,232,4,4
ASSORTED COLOUR BIRD ORNAMENT,2011-04-10,37,6,4
ASSORTED COLOUR BIRD ORNAMENT,2011-04-11,57,0,4
ASSORTED COLOUR BIRD ORNAMENT,2011-04-12,168,1,4
ASSORTED COLOUR BIRD ORNAMENT,2011-04-13,162,2,4
ASSORTED COLOUR BIRD ORNAMENT,2011-04-14,280,3,4
ASSORTED COLOUR BIRD ORNAMENT,2011-04-15,24,4,4
ASSORTED COLOUR BIRD ORNAMENT,2011-04-17,124,6,4
ASSORTED COLOUR BIRD ORNAMENT,2011-04-18,52,0,4
ASSORTED COLOUR BIRD ORNAMENT,2011-04-19,128,1,4
ASSORTED COLOUR BIRD ORNAMENT,2011-04-20,16,2,4
ASSORTED COLOUR BIRD ORNAMENT,2011-04-21,248,3,4
ASSORTED COLOUR BIRD ORNAMENT,2011-04-26,95,1,4
ASSORTED COLOUR BIRD ORNAMENT,2011-04-27,88,2,4
ASSORTED COLOUR BIRD ORNAMENT,2011-04-28,64,3,4
ASSORTED COLOUR BIRD ORNAMENT,2011-05-01,1,6,5
ASSORTED COLOUR BIRD ORNAMENT,2011-05-03,52,1,5
ASSORTED COLOUR BIRD ORNAMENT,2011-05-04,96,2,5
ASSORTED COLOUR BIRD ORNAMENT,2011-05-05,114,3,5
ASSORTED COLOUR BIRD ORNAMENT,2011-05-06,120,4,5
ASSORTED COLOUR BIRD ORNAMENT,2011-05-08,204,6,5
ASSORTED COLOUR BIRD ORNAMENT,2011-05-09,40,0,5
ASSORTED COLOUR BIRD ORNAMENT,2011-05-10,192,1,5
ASSORTED COLOUR BIRD ORNAMENT,2011-05-11,448,2,5
ASSORTED COLOUR BIRD ORNAMENT,2011-05-12,360,3,5
ASSORTED COLOUR BIRD ORNAMENT,2011-05-13,109,4,5
ASSORTED COLOUR BIRD ORNAMENT,2011-05-15,44,6,5
ASSORTED COLOUR BIRD ORNAMENT,2011-05-16,64,0,5
ASSORTED COLOUR BIRD ORNAMENT,2011-05-17,168,1,5
ASSORTED COLOUR BIRD ORNAMENT,2011-05-18,128,2,5
ASSORTED COLOUR BIRD ORNAMENT,2011-05-19,48,3,5
ASSORTED COLOUR BIRD ORNAMENT,2011-05-20,136,4,5
ASSORTED COLOUR BIRD ORNAMENT,2011-05-22,43,6,5
ASSORTED COLOUR BIRD ORNAMENT,2011-05-23,116,0,5
ASSORTED COLOUR BIRD ORNAMENT,2011-05-24,100,1,5
ASSORTED COLOUR BIRD ORNAMENT,2011-05-25,29,2,5
ASSORTED COLOUR BIRD ORNAMENT,2011-05-26,264,3,5
ASSORTED COLOUR BIRD ORNAMENT,2011-05-27,16,4,5
ASSORTED COLOUR BIRD ORNAMENT,2011-05-29,40,6,5
ASSORTED COLOUR BIRD ORNAMENT,2011-05-31,104,1,5
ASSORTED COLOUR BIRD ORNAMENT,2011-06-01,48,2,6
ASSORTED COLOUR BIRD ORNAMENT,2011-06-02,56,3,6
ASSORTED COLOUR BIRD ORNAMENT,2011-06-03,64,4,6
ASSORTED COLOUR BIRD ORNAMENT,2011-06-05,96,6,6
ASSORTED COLOUR BIRD ORNAMENT,2011-06-06,64,0,6
ASSORTED COLOUR BIRD ORNAMENT,2011-06-07,44,1,6
ASSORTED COLOUR BIRD ORNAMENT,2011-06-08,104,2,6
ASSORTED COLOUR BIRD ORNAMENT,2011-06-09,32,3,6
ASSORTED COLOUR BIRD ORNAMENT,2011-06-10,40,4,6
ASSORTED COLOUR BIRD ORNAMENT,2011-06-12,8,6,6
ASSORTED COLOUR BIRD ORNAMENT,2011-06-13,16,0,6
ASSORTED COLOUR BIRD ORNAMENT,2011-06-14,52,1,6
ASSORTED COLOUR BIRD ORNAMENT,2011-06-15,40,2,6
ASSORTED COLOUR BIRD ORNAMENT,2011-06-16,57,3,6
ASSORTED COLOUR BIRD ORNAMENT,2011-06-17,233,4,6
ASSORTED COLOUR BIRD ORNAMENT,2011-06-19,40,6,6
ASSORTED COLOUR BIRD ORNAMENT,2011-06-20,24,0,6
ASSORTED COLOUR BIRD ORNAMENT,2011-06-21,82,1,6
ASSORTED COLOUR BIRD ORNAMENT,2011-06-22,60,2,6
ASSORTED COLOUR BIRD ORNAMENT,2011-06-23,48,3,6
ASSORTED COLOUR BIRD ORNAMENT,2011-06-24,56,4,6
ASSORTED COLOUR BIRD ORNAMENT,2011-06-27,60,0,6
ASSORTED COLOUR BIRD ORNAMENT,2011-06-28,40,1,6
ASSORTED COLOUR BIRD ORNAMENT,2011-06-29,96,2,6
ASSORTED COLOUR BIRD ORNAMENT,2011-06-30,56,3,6
ASSORTED COLOUR BIRD ORNAMENT,2011-07-01,16,4,7
ASSORTED COLOUR BIRD ORNAMENT,2011-07-04,24,0,7
ASSORTED COLOUR BIRD ORNAMENT,2011-07-05,92,1,7
ASSORTED COLOUR BIRD ORNAMENT,2011-07-06,128,2,7
ASSORTED COLOUR BIRD ORNAMENT,2011-07-07,120,3,7
ASSORTED COLOUR BIRD ORNAMENT,2011-07-08,64,4,7
ASSORTED COLOUR BIRD ORNAMENT,2011-07-10,16,6,7
ASSORTED COLOUR BIRD ORNAMENT,2011-07-11,119,0,7
ASSORTED COLOUR BIRD ORNAMENT,2011-07-12,8,1,7
ASSORTED COLOUR BIRD ORNAMENT,2011-07-13,82,2,7
ASSORTED COLOUR BIRD ORNAMENT,2011-07-14,64,3,7
ASSORTED COLOUR BIRD ORNAMENT,2011-07-15,16,4,7
ASSORTED COLOUR BIRD ORNAMENT,2011-07-17,73,6,7
ASSORTED COLOUR BIRD ORNAMENT,2011-07-18,74,0,7
ASSORTED COLOUR BIRD ORNAMENT,2011-07-19,134,1,7
ASSORTED COLOUR BIRD ORNAMENT,2011-07-20,18,2,7
ASSORTED COLOUR BIRD ORNAMENT,2011-07-21,160,3,7
ASSORTED COLOUR BIRD ORNAMENT,2011-07-22,56,4,7
ASSORTED COLOUR BIRD ORNAMENT,2011-07-24,69,6,7
ASSORTED COLOUR BIRD ORNAMENT,2011-07-25,104,0,7
ASSORTED COLOUR BIRD ORNAMENT,2011-07-26,16,1,7
ASSORTED COLOUR BIRD ORNAMENT,2011-07-27,56,2,7
ASSORTED COLOUR BIRD ORNAMENT,2011-07-28,46,3,7
ASSORTED COLOUR BIRD ORNAMENT,2011-07-29,144,4,7
ASSORTED COLOUR BIRD ORNAMENT,2011-07-31,64,6,7
ASSORTED COLOUR BIRD ORNAMENT,2011-08-01,80,0,8
ASSORTED COLOUR BIRD ORNAMENT,2011-08-02,8,1,8
ASSORTED COLOUR BIRD ORNAMENT,2011-08-03,82,2,8
ASSORTED COLOUR BIRD ORNAMENT,2011-08-04,3335,3,8
ASSORTED COLOUR BIRD ORNAMENT,2011-08-05,70,4,8
ASSORTED COLOUR BIRD ORNAMENT,2011-08-07,161,6,8
ASSORTED COLOUR BIRD ORNAMENT,2011-08-08,88,0,8
ASSORTED COLOUR BIRD ORNAMENT,2011-08-09,32,1,8
ASSORTED COLOUR BIRD ORNAMENT,2011-08-10,88,2,8
ASSORTED COLOUR BIRD ORNAMENT,2011-08-11,1008,3,8
ASSORTED COLOUR BIRD ORNAMENT,2011-08-12,32,4,8
ASSORTED COLOUR BIRD ORNAMENT,2011-08-14,11,6,8
ASSORTED COLOUR BIRD ORNAMENT,2011-08-15,64,0,8
ASSORTED COLOUR BIRD ORNAMENT,2011-08-16,60,1,8
ASSORTED COLOUR BIRD ORNAMENT,2011-08-17,32,2,8
ASSORTED COLOUR BIRD ORNAMENT,2011-08-18,95,3,8
ASSORTED COLOUR BIRD ORNAMENT,2011-08-19,216,4,8
ASSORTED COLOUR BIRD ORNAMENT,2011-08-21,81,6,8
ASSORTED COLOUR BIRD ORNAMENT,2011-08-22,206,0,8
ASSORTED COLOUR BIRD ORNAMENT,2011-08-23,48,1,8
ASSORTED COLOUR BIRD ORNAMENT,2011-08-24,96,2,8
ASSORTED COLOUR BIRD ORNAMENT,2011-08-25,400,3,8
ASSORTED COLOUR BIRD ORNAMENT,2011-08-26,40,4,8
ASSORTED COLOUR BIRD ORNAMENT,2011-08-28,60,6,8
ASSORTED COLOUR BIRD ORNAMENT,2011-08-30,8,1,8
ASSORTED COLOUR BIRD ORNAMENT,2011-08-31,16,2,8
ASSORTED COLOUR BIRD ORNAMENT,2011-09-01,96,3,9
ASSORTED COLOUR BIRD ORNAMENT,2011-09-02,8,4,9
ASSORTED COLOUR BIRD ORNAMENT,2011-09-04,80,6,9
ASSORTED COLOUR BIRD ORNAMENT,2011-09-05,40,0,9
ASSORTED COLOUR BIRD ORNAMENT,2011-09-06,88,1,9
ASSORTED COLOUR BIRD ORNAMENT,2011-09-07,72,2,9
ASSORTED COLOUR BIRD ORNAMENT,2011-09-08,128,3,9
ASSORTED COLOUR BIRD ORNAMENT,2011-09-09,40,4,9
ASSORTED COLOUR BIRD ORNAMENT,2011-09-11,104,6,9
ASSORTED COLOUR BIRD ORNAMENT,2011-09-12,40,0,9
ASSORTED COLOUR BIRD ORNAMENT,2011-09-13,296,1,9
ASSORTED COLOUR BIRD ORNAMENT,2011-09-14,48,2,9
ASSORTED COLOUR BIRD ORNAMENT,2011-09-15,400,3,9
ASSORTED COLOUR BIRD ORNAMENT,2011-09-16,68,4,9
ASSORTED COLOUR BIRD ORNAMENT,2011-09-18,48,6,9
ASSORTED COLOUR BIRD ORNAMENT,2011-09-19,104,0,9
ASSORTED COLOUR BIRD ORNAMENT,2011-09-20,64,1,9
ASSORTED COLOUR BIRD ORNAMENT,2011-09-21,56,2,9
ASSORTED COLOUR BIRD ORNAMENT,2011-09-22,348,3,9
ASSORTED COLOUR BIRD ORNAMENT,2011-09-23,24,4,9
ASSORTED COLOUR BIRD ORNAMENT,2011-09-25,97,6,9
ASSORTED COLOUR BIRD ORNAMENT,2011-09-26,245,0,9
ASSORTED COLOUR BIRD ORNAMENT,2011-09-27,74,1,9
ASSORTED COLOUR BIRD ORNAMENT,2011-09-28,224,2,9
ASSORTED COLOUR BIRD ORNAMENT,2011-09-29,176,3,9
ASSORTED COLOUR BIRD ORNAMENT,2011-09-30,48,4,9
ASSORTED COLOUR BIRD ORNAMENT,2011-10-02,16,6,10
ASSORTED COLOUR BIRD ORNAMENT,2011-10-03,72,0,10
ASSORTED COLOUR BIRD ORNAMENT,2011-10-04,84,1,10
ASSORTED COLOUR BIRD ORNAMENT,2011-10-05,91,2,10
ASSORTED COLOUR BIRD ORNAMENT,2011-10-06,285,3,10
ASSORTED COLOUR BIRD ORNAMENT,2011-10-07,48,4,10
ASSORTED COLOUR BIRD ORNAMENT,2011-10-09,9,6,10
ASSORTED COLOUR BIRD ORNAMENT,2011-10-10,40,0,10
ASSORTED COLOUR BIRD ORNAMENT,2011-10-11,76,1,10
ASSORTED COLOUR BIRD ORNAMENT,2011-10-12,56,2,10
ASSORTED COLOUR BIRD ORNAMENT,2011-10-13,116,3,10
ASSORTED COLOUR BIRD ORNAMENT,2011-10-14,72,4,10
ASSORTED COLOUR BIRD ORNAMENT,2011-10-16,60,6,10
ASSORTED COLOUR BIRD ORNAMENT,2011-10-17,392,0,10
ASSORTED COLOUR BIRD ORNAMENT,2011-10-18,48,1,10
ASSORTED COLOUR BIRD ORNAMENT,2011-10-19,158,2,10
ASSORTED COLOUR BIRD ORNAMENT,2011-10-20,148,3,10
ASSORTED COLOUR BIRD ORNAMENT,2011-10-21,16,4,10
ASSORTED COLOUR BIRD ORNAMENT,2011-10-23,59,6,10
ASSORTED COLOUR BIRD ORNAMENT,2011-10-24,40,0,10
ASSORTED COLOUR BIRD ORNAMENT,2011-10-25,80,1,10
ASSORTED COLOUR BIRD ORNAMENT,2011-10-26,217,2,10
ASSORTED COLOUR BIRD ORNAMENT,2011-10-27,40,3,10
ASSORTED COLOUR BIRD ORNAMENT,2011-10-28,48,4,10
ASSORTED COLOUR BIRD ORNAMENT,2011-10-30,264,6,10
ASSORTED COLOUR BIRD ORNAMENT,2011-10-31,112,0,10
ASSORTED COLOUR BIRD ORNAMENT,2011-11-01,294,1,11
ASSORTED COLOUR BIRD ORNAMENT,2011-11-02,128,2,11
ASSORTED COLOUR BIRD ORNAMENT,2011-11-03,210,3,11
ASSORTED COLOUR BIRD ORNAMENT,2011-11-04,80,4,11
ASSORTED COLOUR BIRD ORNAMENT,2011-11-06,136,6,11
ASSORTED COLOUR BIRD ORNAMENT,2011-11-07,24,0,11
ASSORTED COLOUR BIRD ORNAMENT,2011-11-08,40,1,11
ASSORTED COLOUR BIRD ORNAMENT,2011-11-09,1312,2,11
ASSORTED COLOUR BIRD ORNAMENT,2011-11-10,200,3,11
ASSORTED COLOUR BIRD ORNAMENT,2011-11-11,92,4,11
ASSORTED COLOUR BIRD ORNAMENT,2011-11-13,48,6,11
ASSORTED COLOUR BIRD ORNAMENT,2011-11-14,303,0,11
ASSORTED COLOUR BIRD ORNAMENT,2011-11-15,107,1,11
ASSORTED COLOUR BIRD ORNAMENT,2011-11-16,289,2,11
ASSORTED COLOUR BIRD ORNAMENT,2011-11-17,94,3,11
ASSORTED COLOUR BIRD ORNAMENT,2011-11-18,368,4,11
ASSORTED COLOUR BIRD ORNAMENT,2011-11-20,149,6,11
ASSORTED COLOUR BIRD ORNAMENT,2011-11-21,163,0,11
ASSORTED COLOUR BIRD ORNAMENT,2011-11-22,132,1,11
ASSORTED COLOUR BIRD ORNAMENT,2011-11-23,80,2,11
ASSORTED COLOUR BIRD ORNAMENT,2011-11-24,355,3,11
ASSORTED COLOUR BIRD ORNAMENT,2011-11-25,272,4,11
ASSORTED COLOUR BIRD ORNAMENT,2011-11-27,8,6,11
ASSORTED COLOUR BIRD ORNAMENT,2011-11-28,40,0,11
ASSORTED COLOUR BIRD ORNAMENT,2011-11-29,119,1,11
ASSORTED COLOUR BIRD ORNAMENT,2011-11-30,112,2,11
ASSORTED COLOUR BIRD ORNAMENT,2011-12-01,88,3,12
ASSORTED COLOUR BIRD ORNAMENT,2011-12-02,496,4,12
ASSORTED COLOUR BIRD ORNAMENT,2011-12-04,66,6,12
ASSORTED COLOUR BIRD ORNAMENT,2011-12-05,109,0,12
ASSORTED COLOUR BIRD ORNAMENT,2011-12-06,240,1,12
ASSORTED COLOUR BIRD ORNAMENT,2011-12-07,256,2,12
ASSORTED COLOUR BIRD ORNAMENT,2011-12-08,3,3,12
ASSORTED COLOUR BIRD ORNAMENT,2011-12-09,16,4,12
JUMBO BAG RED RETROSPOT,2010-12-01,554,2,12
JUMBO BAG RED RETROSPOT,2010-12-02,48,3,12
JUMBO BAG RED RETROSPOT,2010-12-03,43,4,12
JUMBO BAG RED RETROSPOT,2010-12-05,39,6,12
JUMBO BAG RED RETROSPOT,2010-12-06,149,0,12
JUMBO BAG RED RETROSPOT,2010-12-07,325,1,12
JUMBO BAG RED RETROSPOT,2010-12-08,201,2,12
JUMBO BAG RED RETROSPOT,2010-12-09,14,3,12
JUMBO BAG RED RETROSPOT,2010-12-10,120,4,12
JUMBO BAG RED RETROSPOT,2010-12-12,1,6,12
JUMBO BAG RED RETROSPOT,2010-12-13,22,0,12
JUMBO BAG RED RETROSPOT,2010-12-14,57,1,12
JUMBO BAG RED RETROSPOT,2010-12-15,80,2,12
JUMBO BAG RED RETROSPOT,2010-12-16,210,3,12
JUMBO BAG RED RETROSPOT,2010-12-17,30,4,12
JUMBO BAG RED RETROSPOT,2010-12-19,1,6,12
JUMBO BAG RED RETROSPOT,2010-12-20,42,0,12
JUMBO BAG RED RETROSPOT,2010-12-21,110,1,12
JUMBO BAG RED RETROSPOT,2010-12-23,10,3,12
JUMBO BAG RED RETROSPOT,2011-01-04,27,1,1
JUMBO BAG RED RETROSPOT,2011-01-05,436,2,1
JUMBO BAG RED RETROSPOT,2011-01-06,354,3,1
JUMBO BAG RED RETROSPOT,2011-01-07,510,4,1
JUMBO BAG RED RETROSPOT,2011-01-09,43,6,1
JUMBO BAG RED RETROSPOT,2011-01-10,53,0,1
JUMBO BAG RED RETROSPOT,2011-01-13,24,3,1
JUMBO BAG RED RETROSPOT,2011-01-14,90,4,1
JUMBO BAG RED RETROSPOT,2011-01-16,10,6,1
JUMBO BAG RED RETROSPOT,2011-01-17,25,0,1
JUMBO BAG RED RETROSPOT,2011-01-18,73,1,1
JUMBO BAG RED RETROSPOT,2011-01-19,240,2,1
JUMBO BAG RED RETROSPOT,2011-01-20,3,3,1
JUMBO BAG RED RETROSPOT,2011-01-21,104,4,1
JUMBO BAG RED RETROSPOT,2011-01-23,100,6,1
JUMBO BAG RED RETROSPOT,2011-01-24,52,0,1
JUMBO BAG RED RETROSPOT,2011-01-25,390,1,1
JUMBO BAG RED RETROSPOT,2011-01-27,50,3,1
JUMBO BAG RED RETROSPOT,2011-01-31,41,0,1
JUMBO BAG RED RETROSPOT,2011-02-01,387,1,2
JUMBO BAG RED RETROSPOT,2011-02-02,306,2,2
JUMBO BAG RED RETROSPOT,2011-02-03,126,3,2
JUMBO BAG RED RETROSPOT,2011-02-04,11,4,2
JUMBO BAG RED RETROSPOT,2011-02-06,64,6,2
JUMBO BAG RED RETROSPOT,2011-02-07,30,0,2
JUMBO BAG RED RETROSPOT,2011-02-08,133,1,2
JUMBO BAG RED RETROSPOT,2011-02-09,20,2,2
JUMBO BAG RED RETROSPOT,2011-02-11,43,4,2
JUMBO BAG RED RETROSPOT,2011-02-13,40,6,2
JUMBO BAG RED RETROSPOT,2011-02-14,420,0,2
JUMBO BAG RED RETROSPOT,2011-02-15,52,1,2
JUMBO BAG RED RETROSPOT,2011-02-16,30,2,2
JUMBO BAG RED RETROSPOT,2011-02-17,113,3,2
JUMBO BAG RED RETROSPOT,2011-02-18,314,4,2
JUMBO BAG RED RETROSPOT,2011-02-20,30,6,2
JUMBO BAG RED RETROSPOT,2011-02-21,100,0,2
JUMBO BAG RED RETROSPOT,2011-02-22,322,1,2
JUMBO BAG RED RETROSPOT,2011-02-23,24,2,2
JUMBO BAG RED RETROSPOT,2011-02-24,160,3,2
JUMBO BAG RED RETROSPOT,2011-02-25,160,4,2
JUMBO BAG RED RETROSPOT,2011-02-27,6,6,2
JUMBO BAG RED RETROSPOT,2011-02-28,80,0,2
JUMBO BAG RED RETROSPOT,2011-03-01,280,1,3
JUMBO BAG RED RETROSPOT,2011-03-02,16,2,3
JUMBO BAG RED RETROSPOT,2011-03-03,30,3,3
JUMBO BAG RED RETROSPOT,2011-03-04,181,4,3
JUMBO BAG RED RETROSPOT,2011-03-06,25,6,3
JUMBO BAG RED RETROSPOT,2011-03-07,445,0,3
JUMBO BAG RED RETROSPOT,2011-03-08,117,1,3
JUMBO BAG RED RETROSPOT,2011-03-09,21,2,3
JUMBO BAG RED RETROSPOT,2011-03-10,38,3,3
JUMBO BAG RED RETROSPOT,2011-03-11,100,4,3
JUMBO BAG RED RETROSPOT,2011-03-14,141,0,3
JUMBO BAG RED RETROSPOT,2011-03-15,17,1,3
JUMBO BAG RED RETROSPOT,2011-03-16,10,2,3
JUMBO BAG RED RETROSPOT,2011-03-17,1240,3,3
JUMBO BAG RED RETROSPOT,2011-03-18,21,4,3
JUMBO BAG RED RETROSPOT,2011-03-20,70,6,3
JUMBO BAG RED RETROSPOT,2011-03-21,161,0,3
JUMBO BAG RED RETROSPOT,2011-03-22,26,1,3
JUMBO BAG RED RETROSPOT,2011-03-23,332,2,3
JUMBO BAG RED RETROSPOT,2011-03-24,315,3,3
JUMBO BAG RED RETROSPOT,2011-03-25,520,4,3
JUMBO BAG RED RETROSPOT,2011-03-28,142,0,3
JUMBO BAG RED RETROSPOT,2011-03-29,320,1,3
JUMBO BAG RED RETROSPOT,2011-03-30,330,2,3
JUMBO BAG RED RETROSPOT,2011-03-31,26,3,3
JUMBO BAG RED RETROSPOT,2011-04-01,16,4,4
JUMBO BAG RED RETROSPOT,2011-04-03,10,6,4
JUMBO BAG RED RETROSPOT,2011-04-04,298,0,4
JUMBO BAG RED RETROSPOT,2011-04-05,320,1,4
JUMBO BAG RED RETROSPOT,2011-04-06,102,2,4
JUMBO BAG RED RETROSPOT,2011-04-07,24,3,4
JUMBO BAG RED RETROSPOT,2011-04-08,50,4,4
JUMBO BAG RED RETROSPOT,2011-04-10,34,6,4
JUMBO BAG RED RETROSPOT,2011-04-11,22,0,4
JUMBO BAG RED RETROSPOT,2011-04-12,120,1,4
JUMBO BAG RED RETROSPOT,2011-04-13,40,2,4
JUMBO BAG RED RETROSPOT,2011-04-14,148,3,4
JUMBO BAG RED RETROSPOT,2011-04-15,50,4,4
JUMBO BAG RED RETROSPOT,2011-04-17,220,6,4
JUMBO BAG RED RETROSPOT,2011-04-18,124,0,4
JUMBO BAG RED RETROSPOT,2011-04-19,135,1,4
